country,gender,age,yr_mrr,chd,chda,edu,physio,raf,rel,safety,love4,happy,esteem2,love5,love3,esteem1,sact,love2,love1,ms1,ms2,ms3,scoll1,scoll2,scoll3,scoll4,icoll1,icoll2,icoll3,icoll4
Brazil,1,21,2,0,0,5,3,1,4,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,1,29,3,1,0,5,3,1,2,5,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1
Brazil,1,30,7,0,0,5,3,1,4,4,1,1,2,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1
Brazil,1,30,7,1,1,5,3,1,2,7,1,1,1,1,1,1,2,2,1,2,2,2,3,1,1,2,1,1,1,1
Brazil,1,28,9,0,0,4,2,1,3,7,1,2,1,1,1,1,1,2,1,1,2,1,3,2,3,2,1,1,1,1
Brazil,1,39,9,1,0,5,3,1,2,4,1,1,1,1,1,1,1,2,1,2,2,3,3,1,5,3,1,1,3,1
Brazil,1,30,7,2,2,5,3,1,3,3,1,1,2,1,1,2,2,1,1,4,4,4,2,1,5,3,2,2,3,1
Brazil,1,40,20,2,2,5,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,3,1,1,4,1
Brazil,2,43,22,2,2,4,3,1,3,5,2,2,1,2,1,2,2,2,2,5,5,5,3,1,3,4,1,1,4,1
Brazil,2,34,2,1,0,5,2,1,4,3,3,5,2,2,2,1,2,3,3,7,7,7,3,1,4,1,1,1,4,2
Brazil,2,52,27,2,0,3,2,1,7,7,1,2,1,1,1,1,1,1,1,1,1,2,6,2,6,2,1,1,5,2
Brazil,1,33,4,1,1,5,3,1,4,6,1,1,1,1,1,1,1,1,1,2,2,2,3,2,4,3,2,2,5,2
Brazil,1,32,1,0,0,5,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3
Brazil,1,32,1,0,0,5,2,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,1,1,3,3
Brazil,1,29,5,1,1,5,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,3,3,1,1,1,5,6
Brazil,1,48,24,2,0,5,2,1,5,7,1,1,1,1,1,1,1,1,1,1,1,1,3,6,3,6,7,7,4,7
Brazil,1,47,15,2,2,5,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,3,1,2,1,1,1,1,1
Brazil,1,24,2,0,0,5,3,2,1,3,1,2,1,1,1,1,2,1,1,2,3,2,2,1,3,3,1,1,1,1
Brazil,1,37,7,0,0,5,2,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1
Brazil,1,31,4,0,0,5,1,2,3,7,1,2,2,1,2,1,2,2,1,3,3,3,4,1,3,2,1,1,2,1
Brazil,1,31,5,1,1,5,2,2,4,7,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,2,1,2,1
Brazil,1,19,2,0,0,4,3,2,3,6,1,2,3,1,1,3,1,4,4,4,1,3,3,1,5,4,1,1,3,1
Brazil,1,30,1,0,0,5,3,2,4,7,1,2,2,1,1,1,2,3,1,4,4,4,1,1,3,1,1,1,4,1
Brazil,1,30,2,0,0,5,1,2,4,2,1,2,1,1,1,2,2,2,1,3,3,3,2,2,3,1,1,1,4,1
Brazil,1,28,6,0,0,5,2,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,4,1
Brazil,2,26,1,0,0,5,3,2,4,7,1,1,1,1,1,1,1,2,1,1,1,1,2,1,5,1,3,2,4,1
Brazil,1,40,17,1,1,5,2,2,5,6,2,4,2,2,3,2,1,4,3,6,5,6,2,2,5,2,1,1,5,1
Brazil,1,32,2,0,0,5,3,2,4,7,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,5,3,1,7,1
Brazil,1,34,6,1,1,5,3,2,4,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2
Brazil,1,29,1,0,0,5,2,2,5,7,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
Brazil,2,33,15,0,0,5,2,2,4,3,2,3,2,2,3,1,1,3,2,3,3,3,4,2,5,3,2,2,4,2
Brazil,1,31,8,0,0,5,2,2,6,4,1,1,2,1,1,1,1,2,1,1,1,1,2,2,4,1,1,1,5,2
Brazil,1,34,8,1,1,5,2,2,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,2,1,1,6,2
Brazil,1,52,22,1,1,5,3,2,3,3,2,4,5,4,3,2,2,5,5,7,7,7,1,1,3,2,1,1,2,3
Brazil,2,60,26,2,0,5,3,2,3,3,2,1,1,2,1,1,1,2,1,3,3,3,3,2,2,3,1,1,3,3
Brazil,2,33,2,0,0,5,2,2,4,6,2,2,2,2,2,2,2,3,1,2,2,2,4,3,4,3,3,3,3,3
Brazil,1,42,17,1,1,5,2,2,2,4,1,1,1,1,1,1,1,1,1,2,2,1,4,2,4,2,1,1,4,3
Brazil,1,25,4,0,0,4,2,2,3,6,1,2,2,1,2,1,2,2,2,4,3,3,3,1,5,2,1,1,4,3
Brazil,1,30,9,0,0,5,3,2,6,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,6,3
Brazil,1,25,5,1,0,4,2,2,2,7,1,2,1,1,1,1,1,1,1,4,3,3,1,1,4,1,1,1,6,3
Brazil,1,29,6,0,0,5,3,2,5,7,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,2,1,1,6,3
Brazil,2,43,18,2,2,4,3,2,3,6,1,1,1,1,1,1,1,1,1,2,2,2,4,2,6,1,2,1,7,3
Brazil,1,28,4,1,1,5,2,2,1,7,1,1,2,1,1,1,1,1,1,1,1,1,2,2,4,3,2,2,3,4
Brazil,1,27,3,0,0,5,3,2,5,7,1,2,1,1,1,1,3,2,2,4,3,3,3,2,6,4,1,1,4,4
Brazil,1,27,8,0,0,5,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,3,1,1,6,4
Brazil,1,35,2,0,0,5,2,2,5,6,1,2,1,1,1,1,1,2,1,3,4,4,5,3,5,1,1,1,6,5
Brazil,1,29,7,2,2,5,1,2,2,4,1,1,1,1,1,1,1,1,1,2,2,2,1,1,4,2,2,2,5,6
Brazil,1,27,1,0,0,5,2,2,4,7,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1,1,4,7
Brazil,1,33,13,2,3,5,1,4,6,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,3,3
Brazil,2,54,13,1,1,5,2,4,7,3,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,2,1,4,3
Brazil,2,38,7,1,1,5,2,4,5,6,1,3,1,1,1,1,1,2,1,3,3,3,3,1,3,5,3,2,4,5
Brazil,1,24,6,0,0,5,2,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,1,1,2,1
Brazil,2,35,7,0,0,5,2,6,7,7,1,2,2,1,1,1,1,1,1,1,1,2,5,3,6,2,1,1,2,1
Brazil,2,27,3,0,0,5,2,6,7,4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,6,3,1,1,2,1
Brazil,1,23,1,0,0,4,3,6,6,3,1,3,1,1,1,1,1,2,1,1,1,1,7,1,7,6,1,1,3,1
Brazil,1,60,36,3,0,5,1,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1
Brazil,2,29,2,0,0,5,2,6,7,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,6,2,2,1,7,1
Brazil,2,31,8,0,0,5,2,6,7,5,1,4,1,1,1,1,1,1,1,4,4,4,5,1,7,2,2,2,7,1
Brazil,2,57,2,3,0,5,3,6,7,6,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2
Brazil,1,30,4,0,0,5,2,6,7,6,1,1,1,2,1,1,1,3,1,2,3,1,2,1,2,1,1,1,2,2
Brazil,2,32,14,0,0,5,1,6,7,4,1,1,3,1,3,2,2,3,2,4,4,4,4,1,2,2,1,1,2,2
Brazil,1,39,1,1,1,5,3,6,6,5,1,2,1,1,1,1,1,2,1,4,4,5,4,2,2,2,1,1,2,2
Brazil,1,33,8,0,0,5,2,6,6,6,1,2,2,1,1,1,1,1,1,2,1,1,2,2,3,2,1,1,2,2
Brazil,2,26,3,1,1,5,2,6,5,4,1,1,1,1,1,1,1,1,1,3,2,3,3,1,3,2,2,1,2,2
Brazil,1,27,2,0,0,5,2,6,6,6,1,1,1,1,1,1,1,1,1,2,2,2,3,1,2,5,2,1,2,2
